"original_value","curated_ontology_term","curated_ontology_term_id","curated_ontology_term_db","bodysite_values"
"anterior_nares","anterior naris","UBERON:2001427","UBERON","No"
"buccal_mucosa","buccal mucosa","UBERON:0006956","UBERON","No"
"chest","chest","UBERON:0001443","UBERON","No"
"hard_palate","hard palate","UBERON:0003216","UBERON","No"
"keratinized_gingiva","gingiva","UBERON:0001828","UBERON","No"
"l_retroauricular_crease","Entire skin of postauricular region (body structure)","244080005","SNOMED","No"
"left_ear","left ear","UBERON:0035295","UBERON","No"
"left_elbow","Left elbow","FMA:24903","FMA","No"
"lung","lung","UBERON:0002048","UBERON","No"
"mid_vagina","median vaginal canal","UBERON:0013524","UBERON","No"
"milk","milk","UBERON:0001913","UBERON","Yes"
"nasalcavity","nasal cavity","UBERON:0001707","UBERON","Yes"
"oralcavity","oral cavity","UBERON:0000167","UBERON","Yes"
"palatine_tonsils","palatine tonsil","UBERON:0002373","UBERON","No"
"posterior_fornix","posterior fornix of vagina","UBERON:0016486","UBERON","No"
"r_retroauricular_crease","Entire skin of postauricular region (body structure)","244080005","SNOMED","No"
"rectal_swab","rectum","UBERON:0001052","UBERON","No"
"right_ear","right ear","UBERON:0035174","UBERON","No"
"right_elbow","Right elbow","FMA:24902","FMA","No"
"saliva","saliva","UBERON:0001836","UBERON","No"
"skin","Skin","FMA:7163","FMA","Yes"
"sputum","sputum","UBERON:0007311","UBERON","No"
"stool","feces","UBERON:0001988","UBERON","Yes"
"subgingival_plaque","subgingival dental plaque","UBERON:0016484","UBERON","No"
"supragingival_plaque","supragingival dental plaque","UBERON:0016485","UBERON","No"
"throat","throat","UBERON:0000341","UBERON","No"
"tongue_dorsum","dorsum of tongue","UBERON:0009471","UBERON","No"
"vagina","vagina","UBERON:0000996","UBERON","Yes"
"vaginal_introitus","Vaginal introitus structure (body structure)","18857001","SNOMED","No"
